Best K for KNN is:9
Model accuracy is:0.6358267716535433

Letter    Accuracy
  0        0.714
  1        0.348
  2        0.722
  3        0.556
  4        0.5
  5        0.778
  6        0.833
  7        0.556
  8        0.944
  9        0.722
  10        0.727
  11        0.444
  12        0.476
  13        0.864
  14        0.333
  15        0.65
  16        0.722
  17        0.778
  18        0.5
  19        0.579
  20        0.167
  21        0.611
  22        0.167
  23        0.5
  24        0.889
  25        0.667
  26        0.556
